# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
naive,scan,1048576,64,0,0.396704,1
naive,scan,1048576,64,1,0.405600,1
naive,scan,1048576,64,2,0.304384,1
naive,scan,1048576,64,3,0.407584,1
naive,scan,1048576,64,4,0.302560,1
naive,scan,2097152,64,0,0.546080,1
naive,scan,2097152,64,1,0.629184,1
naive,scan,2097152,64,2,0.558944,1
naive,scan,2097152,64,3,0.627872,1
naive,scan,2097152,64,4,0.557888,1
naive,scan,4194304,64,0,1.467744,1
naive,scan,4194304,64,1,1.138048,1
naive,scan,4194304,64,2,1.142528,1
naive,scan,4194304,64,3,1.080672,1
naive,scan,4194304,64,4,1.064256,1
naive,scan,8388608,64,0,2.223296,1
naive,scan,8388608,64,1,2.235360,1
naive,scan,8388608,64,2,2.146336,1
naive,scan,8388608,64,3,2.226528,1
naive,scan,8388608,64,4,2.216704,1
naive,scan,16777216,64,0,4.426720,1
naive,scan,16777216,64,1,4.510752,1
naive,scan,16777216,64,2,4.432032,1
naive,scan,16777216,64,3,4.434688,1
naive,scan,16777216,64,4,4.430368,1
naive,scan,33554432,64,0,9.237600,1
naive,scan,33554432,64,1,9.581664,1
naive,scan,33554432,64,2,9.300640,1
naive,scan,33554432,64,3,9.214656,1
naive,scan,33554432,64,4,9.250016,1
naive,scan,67108864,64,0,19.380928,1
naive,scan,67108864,64,1,19.393503,1
naive,scan,67108864,64,2,19.324032,1
naive,scan,67108864,64,3,19.302431,1
naive,scan,67108864,64,4,19.305183,1
naive,scan,256,128,0,0.086016,1
naive,scan,256,128,1,0.085728,1
naive,scan,256,128,2,0.057344,1
naive,scan,256,128,3,0.058112,1
naive,scan,256,128,4,0.057280,1
naive,scan,512,128,0,0.068704,1
naive,scan,512,128,1,0.025600,1
naive,scan,512,128,2,0.406528,1
naive,scan,512,128,3,0.069632,1
naive,scan,512,128,4,0.069632,1
naive,scan,1024,128,0,0.070656,1
naive,scan,1024,128,1,0.057344,1
naive,scan,1024,128,2,0.092160,1
naive,scan,1024,128,3,0.072704,1
naive,scan,1024,128,4,0.075776,1
naive,scan,2048,128,0,0.079776,1
naive,scan,2048,128,1,0.072704,1
naive,scan,2048,128,2,0.130048,1
naive,scan,2048,128,3,0.108544,1
naive,scan,2048,128,4,0.080896,1
naive,scan,4096,128,0,0.086016,1
naive,scan,4096,128,1,0.102400,1
naive,scan,4096,128,2,0.128096,1
naive,scan,4096,128,3,0.089088,1
naive,scan,4096,128,4,0.077824,1
naive,scan,8192,128,0,0.106496,1
naive,scan,8192,128,1,0.136192,1
naive,scan,8192,128,2,0.142336,1
naive,scan,8192,128,3,0.107520,1
naive,scan,8192,128,4,0.089088,1
naive,scan,16384,128,0,0.090112,1
naive,scan,16384,128,1,0.131072,1
naive,scan,16384,128,2,0.092160,1
naive,scan,16384,128,3,0.093184,1
naive,scan,16384,128,4,0.109568,1
naive,scan,32768,128,0,0.127744,1
naive,scan,32768,128,1,0.170464,1
naive,scan,32768,128,2,0.115680,1
naive,scan,32768,128,3,0.123104,1
naive,scan,32768,128,4,0.322816,1
naive,scan,65536,128,0,0.301920,1
naive,scan,65536,128,1,0.615104,1
naive,scan,65536,128,2,0.163648,1
naive,scan,65536,128,3,0.108448,1
naive,scan,65536,128,4,0.106304,1
naive,scan,131072,128,0,0.123168,1
naive,scan,131072,128,1,0.206528,1
naive,scan,131072,128,2,0.245984,1
naive,scan,131072,128,3,0.125920,1
naive,scan,131072,128,4,0.131040,1
naive,scan,262144,128,0,0.192416,1
naive,scan,262144,128,1,0.233568,1
naive,scan,262144,128,2,0.152768,1
naive,scan,262144,128,3,0.218432,1
naive,scan,262144,128,4,0.160640,1
naive,scan,524288,128,0,0.148928,1
naive,scan,524288,128,1,0.549888,1
naive,scan,524288,128,2,0.185440,1
naive,scan,524288,128,3,0.164256,1
naive,scan,524288,128,4,0.159904,1
naive,scan,1048576,128,0,0.244512,1
naive,scan,1048576,128,1,0.514016,1
naive,scan,1048576,128,2,0.362208,1
naive,scan,1048576,128,3,0.249376,1
naive,scan,1048576,128,4,0.368768,1
naive,scan,2097152,128,0,0.543264,1
naive,scan,2097152,128,1,1.062400,1
naive,scan,2097152,128,2,0.538080,1
naive,scan,2097152,128,3,0.542016,1
naive,scan,2097152,128,4,0.588416,1
naive,scan,4194304,128,0,1.047424,1
naive,scan,4194304,128,1,1.128160,1
naive,scan,4194304,128,2,1.037280,1
naive,scan,4194304,128,3,1.130016,1
naive,scan,4194304,128,4,1.053632,1
naive,scan,8388608,128,0,2.114720,1
naive,scan,8388608,128,1,2.177056,1
naive,scan,8388608,128,2,2.101024,1
naive,scan,8388608,128,3,2.096864,1
naive,scan,8388608,128,4,2.165728,1
naive,scan,16777216,128,0,4.317088,1
naive,scan,16777216,128,1,4.434368,1
naive,scan,16777216,128,2,4.318528,1
naive,scan,16777216,128,3,4.328352,1
naive,scan,16777216,128,4,4.312608,1
naive,scan,33554432,128,0,9.014624,1
naive,scan,33554432,128,1,9.083200,1
naive,scan,33554432,128,2,9.085216,1
naive,scan,33554432,128,3,9.010944,1
naive,scan,33554432,128,4,8.998720,1
naive,scan,67108864,128,0,18.811872,1
naive,scan,67108864,128,1,18.917408,1
naive,scan,67108864,128,2,18.802816,1
naive,scan,67108864,128,3,18.820864,1
naive,scan,67108864,128,4,18.910208,1
naive,scan,256,256,0,0.058368,1
naive,scan,256,256,1,0.061440,1
naive,scan,256,256,2,0.062464,1
naive,scan,256,256,3,0.058368,1
naive,scan,256,256,4,0.039936,1
naive,scan,512,256,0,0.073536,1
naive,scan,512,256,1,0.023552,1
naive,scan,512,256,2,0.059392,1
naive,scan,512,256,3,0.066560,1
naive,scan,512,256,4,0.069632,1
naive,scan,1024,256,0,0.071680,1
naive,scan,1024,256,1,0.111616,1
naive,scan,1024,256,2,0.076800,1
naive,scan,1024,256,3,0.073408,1
naive,scan,1024,256,4,0.095232,1
naive,scan,2048,256,0,0.075776,1
naive,scan,2048,256,1,0.091136,1
