# date=2026-09-16T00:34:14,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..12 --repeats 2 --tag smoke
impl,op,n,block_size,run,ms,ok
efficient,compact,4096,128,0,0.203776,1
efficient,compact,4096,128,1,0.233472,1
efficient,compact,256,256,0,0.166912,1
efficient,compact,256,256,1,0.135168,1
efficient,compact,512,256,0,0.166912,1
efficient,compact,512,256,1,0.199680,1
efficient,compact,1024,256,0,0.210944,1
efficient,compact,1024,256,1,0.214016,1
efficient,compact,2048,256,0,0.172032,1
efficient,compact,2048,256,1,0.193536,1
efficient,compact,4096,256,0,0.237728,1
efficient,compact,4096,256,1,0.216064,1
efficient,compact,256,512,0,0.137216,1
efficient,compact,256,512,1,0.200704,1
efficient,compact,512,512,0,0.166912,1
efficient,compact,512,512,1,0.168960,1
efficient,compact,1024,512,0,0.184320,1
efficient,compact,1024,512,1,0.186368,1
efficient,compact,2048,512,0,0.309248,1
efficient,compact,2048,512,1,0.164864,1
efficient,compact,4096,512,0,0.199680,1
efficient,compact,4096,512,1,0.218112,1
efficient,compact,256,1024,0,0.163840,1
efficient,compact,256,1024,1,0.113664,1
efficient,compact,512,1024,0,0.193536,1
efficient,compact,512,1024,1,0.219136,1
efficient,compact,1024,1024,0,0.200704,1
efficient,compact,1024,1024,1,0.201728,1
efficient,compact,2048,1024,0,0.223328,1
efficient,compact,2048,1024,1,0.256000,1
efficient,compact,4096,1024,0,0.253952,1
efficient,compact,4096,1024,1,0.247808,1
thrust,scan,256,0,0,0.041856,1
thrust,scan,256,0,1,0.041984,1
thrust,scan,512,0,0,0.056160,1
thrust,scan,512,0,1,0.047392,1
thrust,scan,1024,0,0,0.022784,1
thrust,scan,1024,0,1,0.047200,1
thrust,scan,2048,0,0,0.041984,1
thrust,scan,2048,0,1,0.048128,1
thrust,scan,4096,0,0,0.059200,1
thrust,scan,4096,0,1,0.031808,1
